Track Name,Artist,Album,Release Date,Track ID,URL,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature,like,t
Doja,Central Cee,Doja,2022-07-21,3LtpKP5abr2qqjunvjlX5i,https://open.spotify.com/track/3LtpKP5abr2qqjunvjlX5i,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,97393,4,0,10
Love's Train,Bruno Mars,An Evening With Silk Sonic,2021-11-11,2JUQ7mV1AHk2owXLydmN4Z,https://open.spotify.com/track/2JUQ7mV1AHk2owXLydmN4Z,0.711,0.605,6,-9.801,0,0.031,0.0396,2.29e-05,0.104,0.807,140.981,307014,4,1,11
Fall In Love Alone,Stacey Ryan,Fall In Love Alone,2022-05-13,5xwBIieMMFUmLDgvG4DjFe,https://open.spotify.com/track/5xwBIieMMFUmLDgvG4DjFe,0.676,0.625,7,-5.455,0,0.0711,0.316,0.000119,0.127,0.522,171.883,205428,4,0,12
Leave Before You Love Me (with Jonas Brothers),Marshmello,Leave Before You Love Me,2021-05-21,4qu63nuBpdn0qHUHuObEj1,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983,4,1,13
Back To Back,Drake,Back To Back,2015-07-31,5lFDtgWsjRJu8fPOAyJIAK,https://open.spotify.com/track/5lFDtgWsjRJu8fPOAyJIAK,0.893,0.48,1,-3.728,0,0.356,0.00855,0.0,0.116,0.382,86.976,170638,4,0,14
Too Good,Christian Kuria,Borderline,2020-01-29,3GP7l2bmXT6T2FNAzERwBr,https://open.spotify.com/track/3GP7l2bmXT6T2FNAzERwBr,0.69,0.406,5,-9.41,0,0.106,0.232,1.88e-06,0.145,0.507,160.14,277500,4,1,15
All 4 Nothing (I'm So In Love),Lauv,All 4 Nothing,2022-08-05,7I5WT7DtpwSAhEeDLpZEfm,https://open.spotify.com/track/7I5WT7DtpwSAhEeDLpZEfm,0.72,0.819,1,-4.588,1,0.0362,0.0411,0.0,0.0606,0.898,131.99,183014,4,1,16
Back in Blood (feat. Lil Durk),Pooh Shiesty,Back In Blood (feat. Lil Durk),2020-11-06,7JuHVG3qQKQKxC4doneXVW,https://open.spotify.com/track/7JuHVG3qQKQKxC4doneXVW,0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,146.933,184490,4,0,17
Not The 1975,Knox,I'm So Good At Being Alone?,2023-10-06,2U0Zowgw2tgJXu5K56i4Q4,https://open.spotify.com/track/2U0Zowgw2tgJXu5K56i4Q4,0.674,0.915,10,-4.517,1,0.0506,0.11,0.0,0.17,0.927,133.931,198022,4,0,18
One Right Now (with The Weeknd),Post Malone,Twelve Carat Toothache,2022-06-03,1nltpRhEiXikwDlVn4UADk,https://open.spotify.com/track/1nltpRhEiXikwDlVn4UADk,0.682,0.764,1,-5.411,1,0.0477,0.0363,0.0,0.103,0.701,97.023,192721,4,1,19
I Like Me Better,Lauv,I met you when I was 18. (the playlist),2018-05-31,0EcQcdcbQeVJn9fknj44Be,https://open.spotify.com/track/0EcQcdcbQeVJn9fknj44Be,0.753,0.505,9,-7.621,1,0.255,0.534,2.58e-06,0.104,0.419,91.972,197437,4,1,20
Out of Time,The Weeknd,Dawn FM,2022-01-06,2SLwbpExuoBDZBpjfefCtV,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV,0.65,0.76,0,-4.422,0,0.0446,0.255,0.0,0.339,0.838,93.057,214194,4,1,21
Last Time That I Checc'd (feat. YG),Nipsey Hussle,Victory Lap,2018-02-16,39xWBHPM4E9MwzEy5gbM7p,https://open.spotify.com/track/39xWBHPM4E9MwzEy5gbM7p,0.711,0.746,1,-4.224,1,0.253,0.0289,0.0,0.371,0.279,96.024,225573,4,0,22
Hold On,Justin Bieber,Justice,2021-03-19,1nahzW3kfMuwReTka28tH5,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5,0.658,0.634,1,-6.068,0,0.0431,0.0104,0.0,0.12,0.302,140.002,170813,4,1,23
L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT],Billie Eilish,L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT],2024-05-21,2Y6U158gVXfvqNWOLdis0R,https://open.spotify.com/track/2Y6U158gVXfvqNWOLdis0R,0.679,0.657,4,-6.995,0,0.0361,0.000603,0.0238,0.0715,0.78,144.938,271969,4,0,24
Closer,The Chainsmokers,Closer,2016-07-29,7BKLCZ1jbUBVqRi2FVlTVw,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,4,1,25
Shoota (feat. Lil Uzi Vert),Playboi Carti,Die Lit,2018-05-11,2BJSMvOGABRxokHKB0OI8i,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i,0.673,0.649,1,-8.433,0,0.196,0.188,0.0,0.122,0.47,153.075,153800,4,0,26
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),2023-09-15,17phhZDn6oGtzMe56NuWvj,https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,210689,3,0,27
I Just Miss You,Abigail Osborn,I Just Miss You,2024-05-30,07GTTFn5x5fCvyKdoZOdIA,https://open.spotify.com/track/07GTTFn5x5fCvyKdoZOdIA,0.74,0.555,1,-5.425,1,0.044,0.207,0.0,0.31,0.818,106.052,154449,4,0,28
I Wanna Thank Me (feat. Niecy Nash),Meghan Trainor,I Wanna Thank Me (feat. Niecy Nash),2024-05-24,6deUyNbUOrWDytrOtqehmr,https://open.spotify.com/track/6deUyNbUOrWDytrOtqehmr,0.786,0.891,1,-3.422,1,0.0435,0.0849,8.17e-05,0.186,0.88,130.299,143211,4,0,29
Uber Everywhere,MadeinTYO,Uber Everywhere,2016-02-26,7zBPzAjKAqQpcv8F8GCq5s,https://open.spotify.com/track/7zBPzAjKAqQpcv8F8GCq5s,0.779,0.455,1,-15.025,1,0.28,0.0542,0.0,0.177,0.197,140.181,153429,4,0,30
i like the way you kiss me,Artemas,i like the way you kiss me,2024-03-19,2GxrNKugF82CnoRFbQfzPf,https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,142515,4,0,31
Candy Paint,Post Malone,beerbongs & bentleys,2018-04-27,32lItqlMi4LBhb4k0BaSaC,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC,0.66,0.667,4,-5.941,1,0.156,0.64,1.22e-06,0.0753,0.381,180.044,227533,4,1,32
Light Switch,Charlie Puth,CHARLIE,2022-10-06,1jEBSDN5vYViJQr78W7jr2,https://open.spotify.com/track/1jEBSDN5vYViJQr78W7jr2,0.689,0.627,6,-5.692,1,0.308,0.105,0.000321,0.0905,0.905,184.008,187704,4,0,33
Backslide,Twenty One Pilots,Backslide,2024-04-25,62aSL7D64td5wr09L6iFiV,https://open.spotify.com/track/62aSL7D64td5wr09L6iFiV,0.684,0.652,3,-6.258,1,0.26,0.128,0.0,0.0719,0.541,85.104,180000,4,0,34
Hateful,Post Malone,Twelve Carat Toothache (Deluxe),2022-06-07,6p49tiDlXi6m9BD20P0z05,https://open.spotify.com/track/6p49tiDlXi6m9BD20P0z05,0.535,0.724,6,-5.498,0,0.0673,0.0281,0.0,0.0782,0.179,147.083,178160,4,0,35
Livin It Up (with Post Malone & A$AP Rocky),Young Thug,Punk,2021-10-15,7zjEyeBsaw9gV0jofJLfOM,https://open.spotify.com/track/7zjEyeBsaw9gV0jofJLfOM,0.767,0.313,7,-12.059,1,0.0798,0.838,0.0,0.105,0.765,82.582,210907,4,0,36
Trap Queen,Fetty Wap,Fetty Wap (Deluxe),2015-09-25,2d8JP84HNLKhmd6IYOoupQ,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ,0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,222093,4,0,37
Cruel Summer,Taylor Swift,Lover,2019-08-23,1BxfuPKGuaTgP7aM0Bbdwr,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4,1,38
Sue Me,Sabrina Carpenter,Singular Act I,2018-11-09,3WVhkjB7Y4xFruqoCAajBb,https://open.spotify.com/track/3WVhkjB7Y4xFruqoCAajBb,0.46,0.809,6,-5.415,1,0.326,0.0422,5.04e-05,0.138,0.609,157.184,179227,4,0,39
I GUESS IT'S LOVE?,The Kid LAROI,I GUESS IT'S LOVE?,2023-02-24,0zotwiNo16aaUg76C4Fgl5,https://open.spotify.com/track/0zotwiNo16aaUg76C4Fgl5,0.651,0.706,7,-4.847,1,0.0386,0.0217,0.0,0.101,0.309,155.022,137726,4,0,40
Count on Me,Bruno Mars,Doo-Wops & Hooligans,2010-10-05,7l1qvxWjxcKpB9PCtBuTbU,https://open.spotify.com/track/7l1qvxWjxcKpB9PCtBuTbU,0.589,0.389,0,-5.972,1,0.028,0.851,0.0,0.0772,0.501,89.1,197470,4,1,41
MTG QUEM NÃO QUER SOU EU,DJ TOPO,MTG QUEM NÃO QUER SOU EU,2024-05-10,6RjSXi9cPGroetXeNsWFGL,https://open.spotify.com/track/6RjSXi9cPGroetXeNsWFGL,0.492,0.427,9,-6.37,0,0.372,0.364,0.00482,0.53,0.443,80.492,123692,5,0,42
West Coast Love,Emotional Oranges,The Juice: Vol. II,2019-11-08,4NFD9ea0uH0MtoC30yNYE1,https://open.spotify.com/track/4NFD9ea0uH0MtoC30yNYE1,0.696,0.65,4,-5.712,0,0.0326,0.00666,0.153,0.14,0.587,91.997,215387,4,1,43
Lighters,Bad Meets Evil,Hell: The Sequel (Deluxe),2011-01-01,5zpDHEU12zATwLGvozxPw2,https://open.spotify.com/track/5zpDHEU12zATwLGvozxPw2,0.676,0.695,0,-8.327,1,0.245,0.352,0.0,0.119,0.144,90.268,303813,4,1,44
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,The Weeknd,After Hours (Deluxe),2020-03-20,1oFAF1hdPOickyHgbuRjyX,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4,1,45
LOVE AGAIN,The Kid LAROI,THE FIRST TIME,2023-11-10,5sZSiLaxwbQZsQSDzhwgo4,https://open.spotify.com/track/5sZSiLaxwbQZsQSDzhwgo4,0.584,0.455,11,-6.211,0,0.0276,0.447,0.0,0.113,0.367,107.055,146466,4,0,46
Say You Won't Let Go,James Arthur,Back from the Edge,2016-10-28,5uCax9HTNlzGybIStD3vDh,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,211467,4,1,47
Talking to the Moon,Bruno Mars,Doo-Wops & Hooligans,2010-10-05,161DnLWsx1i3u1JT05lzqU,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU,0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,217867,4,1,48
Life Goes On,YAØ,Life Goes On,2024-05-31,4Id1V7jy2XXmCYWIflaq8Z,https://open.spotify.com/track/4Id1V7jy2XXmCYWIflaq8Z,0.671,0.486,0,-6.783,0,0.0285,0.536,0.0,0.435,0.245,110.976,176216,4,0,49
STAY (with Justin Bieber),The Kid LAROI,F*CK LOVE 3+: OVER YOU,2021-07-27,567e29TDzLwZwfDuEpGTwo,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4,1,50
Silk Sonic Intro,Bruno Mars,An Evening With Silk Sonic,2021-11-12,4K09vJ27xCOreumtSuU6Ao,https://open.spotify.com/track/4K09vJ27xCOreumtSuU6Ao,0.696,0.553,1,-8.702,1,0.0759,0.097,3.91e-06,0.617,0.674,114.993,63060,4,1,51
Make Me Forget,Muni Long,Make Me Forget,2024-05-31,7pY0MF6y9pNpzxv7uTCJzD,https://open.spotify.com/track/7pY0MF6y9pNpzxv7uTCJzD,0.525,0.472,3,-7.193,1,0.122,0.431,0.0,0.112,0.315,120.986,238185,3,0,52
Spicy (feat. Post Malone),Ty Dolla $ign,Featuring Ty Dolla $ign,2020-10-23,5IUtvfNvOyVYZUa6AJFrnP,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP,0.782,0.51,4,-5.724,0,0.0419,0.143,0.0,0.115,0.118,99.993,143375,4,0,53
BABY SAID,Måneskin,RUSH!,2023-01-20,2KReCz1L5XkGIBhDncQ5VZ,https://open.spotify.com/track/2KReCz1L5XkGIBhDncQ5VZ,0.622,0.715,6,-4.04,0,0.0323,0.000982,0.0,0.0796,0.607,131.012,164682,4,0,54
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,2018-12-10,285pBltuF7vW8TeWk8hdRR,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4,0,55
Sweetest Revenge,Libby Whitehouse,Sweetest Revenge,2024-05-31,7ItOeQCyzT0Ud8IWXnOIfU,https://open.spotify.com/track/7ItOeQCyzT0Ud8IWXnOIfU,0.554,0.774,6,-7.27,0,0.164,0.00231,1.91e-06,0.149,0.71,76.962,149731,4,0,56
Pop Out (feat. Lil Tjay),Polo G,Die A Legend,2019-06-07,6uFn47ACjqYkc0jADwEdj1,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1,0.772,0.639,1,-7.119,1,0.467,0.15,0.0,0.0698,0.261,168.112,166560,4,0,57
I Wanna Be Yours,Arctic Monkeys,AM,2013-09-09,5XeFesFbtLpXzIVDNQP22n,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,183956,4,0,58
Know Yourself,Drake,If You're Reading This It's Too Late,2015-02-12,5InOp6q2vvx0fShv3bzFLZ,https://open.spotify.com/track/5InOp6q2vvx0fShv3bzFLZ,0.72,0.412,11,-8.687,0,0.223,0.196,0.0,0.342,0.179,114.408,275840,4,0,59
Time Today,Moneybagg Yo,A Gangsta’s Pain,2021-04-23,0YrKSfpvflYnLSBd4Jtu6J,https://open.spotify.com/track/0YrKSfpvflYnLSBd4Jtu6J,0.912,0.608,1,-7.686,1,0.397,0.0458,0.0,0.248,0.327,136.994,136900,4,0,60
greedy,Tate McRae,greedy,2023-09-15,3rUGC1vUpkDG9CZFHMur1t,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t,0.749,0.729,6,-3.19,0,0.0321,0.261,0.0,0.113,0.816,111.004,131872,1,0,61
Put It On Da Floor Again (feat. Cardi B),Latto,Put It On Da Floor Again (feat. Cardi B),2023-06-02,6c6WmIHcHlhccEwSFBhzNa,https://open.spotify.com/track/6c6WmIHcHlhccEwSFBhzNa,0.849,0.614,1,-7.323,1,0.317,0.0282,0.0,0.0603,0.472,111.363,185748,5,0,62
Devotion,Emotional Oranges,The Juice: Vol. III,2022-12-09,15e6YBARIuMIVOZ65PMXgj,https://open.spotify.com/track/15e6YBARIuMIVOZ65PMXgj,0.632,0.486,6,-10.152,0,0.0391,0.313,0.445,0.102,0.551,200.008,168233,4,1,63
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,Better Days (NEIKED x Mae Muller x Polo G),2021-09-24,6f5ExP43esnvdKPddwKXJH,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,160657,4,1,64
POWER,Kanye West,My Beautiful Dark Twisted Fantasy,2010-11-22,2gZUPNdnz5Y45eiGxpHGSc,https://open.spotify.com/track/2gZUPNdnz5Y45eiGxpHGSc,0.542,0.914,0,-4.747,0,0.113,0.0161,0.0,0.744,0.576,153.993,292093,4,1,65
Drip Too Hard (Lil Baby & Gunna),Lil Baby,Drip Harder,2018-10-05,78QR3Wp35dqAhFEc2qAGjE,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.39,112.509,145543,4,0,66
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,7CyPwkp0oE8Ro9Dd5CUDjW,https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW,0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31e-06,0.151,0.19,84.828,244685,4,0,67
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024-03-08,46kspZSY3aKmwQe7O77fCC,https://open.spotify.com/track/46kspZSY3aKmwQe7O77fCC,0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04e-05,0.074,0.295,115.842,228639,4,0,68
Shut Up And Dance,Sophie and the Giants,Shut Up And Dance,2024-05-17,1cZ3mzkuWrAP1uXSWekuLD,https://open.spotify.com/track/1cZ3mzkuWrAP1uXSWekuLD,0.689,0.942,0,-5.358,1,0.0458,0.00182,0.0174,0.27,0.742,129.046,177268,4,0,69
Hot (feat. Gunna),Young Thug,So Much Fun,2019-08-16,5Z8HZM6iQMhhqyPcCGY5g9,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9,0.855,0.651,0,-8.044,0,0.235,0.063,0.0,0.0772,0.559,111.997,193027,4,0,70
Love U Like That,Lauv,Love U Like That,2023-08-04,3rmqiQbzPDx7A8p88IRFKg,https://open.spotify.com/track/3rmqiQbzPDx7A8p88IRFKg,0.714,0.671,10,-3.572,1,0.0321,0.0865,0.0,0.0644,0.238,95.005,211734,4,1,71
Nasty,Tinashe,Nasty,2024-04-12,6NjWCIYu1W8xa3HIvcIhd4,https://open.spotify.com/track/6NjWCIYu1W8xa3HIvcIhd4,0.931,0.411,8,-8.433,1,0.0711,0.165,5.26e-06,0.134,0.515,100.002,176027,4,0,72
Tip Toe,HYBS,Tip Toe,2023-06-20,0MJ5wKsPEeihONNfugHGy7,https://open.spotify.com/track/0MJ5wKsPEeihONNfugHGy7,0.687,0.486,11,-8.673,1,0.0579,0.587,0.126,0.115,0.792,163.9,224726,4,0,73
Family Matters,Drake,Family Matters,2024-05-03,1wFFFzJ5EsKbBWZriAcubN,https://open.spotify.com/track/1wFFFzJ5EsKbBWZriAcubN,0.527,0.492,1,-9.774,1,0.279,0.0047,0.0,0.306,0.234,164.005,456934,4,0,74
EARFQUAKE,"Tyler, The Creator",IGOR,2019-05-17,5hVghJ4KaYES3BFUATCYn0,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,4,0,75
Bored,Laufey,Bewitched: The Goddess Edition,2024-04-26,2SPbioo65CuUB3H0aW1ID5,https://open.spotify.com/track/2SPbioo65CuUB3H0aW1ID5,0.508,0.419,7,-9.786,1,0.0429,0.912,2.22e-05,0.114,0.257,139.109,213213,3,0,76
Deserve You,Justin Bieber,Justice,2021-03-19,5NU40QTlXrDUJzDBdv79bg,https://open.spotify.com/track/5NU40QTlXrDUJzDBdv79bg,0.677,0.633,7,-7.831,1,0.0771,0.0314,0.0,0.112,0.409,89.934,187239,4,1,77
Grenade,Bruno Mars,Doo-Wops & Hooligans,2010-10-05,4lLtanYk6tkMvooU0tWzG8,https://open.spotify.com/track/4lLtanYk6tkMvooU0tWzG8,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,222091,4,1,78
Morning,Cheat Codes,Morning,2024-05-31,1KSknsaLLPqWKLlVRSu8BA,https://open.spotify.com/track/1KSknsaLLPqWKLlVRSu8BA,0.679,0.879,6,-4.618,0,0.146,0.116,0.0,0.214,0.721,121.88,184943,4,0,79
Belong Together,Mark Ambor,Belong Together,2024-02-16,5uQ7de4EWjb3rkcFxyEOpu,https://open.spotify.com/track/5uQ7de4EWjb3rkcFxyEOpu,0.646,0.668,2,-5.203,1,0.0282,0.491,0.0,0.212,0.64,90.969,148318,4,0,80
Ric Flair Drip (with Metro Boomin),Offset,Without Warning,2017-10-30,7sO5G9EABYOXQKNPNiE9NR,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,172800,4,0,81
Stumblin' In,CYRIL,Stumblin' In,2023-11-10,0h3Xy4V4apMraB5NuM8U7Z,https://open.spotify.com/track/0h3Xy4V4apMraB5NuM8U7Z,0.875,0.518,2,-8.388,1,0.0551,0.0638,0.00995,0.125,0.37,126.089,213364,4,0,82
Never Lose Me,Flo Milli,Never Lose Me,2023-11-30,6uTPdRrEDeH8Fyg5L5qmeU,https://open.spotify.com/track/6uTPdRrEDeH8Fyg5L5qmeU,0.781,0.567,1,-7.857,1,0.0969,0.0504,0.0,0.0981,0.0743,121.964,125902,4,0,83
You Broke My Heart,Drake,For All The Dogs Scary Hours Edition,2023-11-17,5Se32hEA9raeboZerywxka,https://open.spotify.com/track/5Se32hEA9raeboZerywxka,0.465,0.7,10,-5.163,0,0.0893,0.203,0.0,0.299,0.276,120.854,230709,4,1,84
Madonna,Natanael Cano,Madonna,2024-03-08,5LhI8m7n8xlQmNe3b7Rwis,https://open.spotify.com/track/5LhI8m7n8xlQmNe3b7Rwis,0.732,0.873,0,-5.965,1,0.0321,0.0449,0.000803,0.347,0.662,128.029,187088,3,0,85
Psycho (feat. Ty Dolla $ign),Post Malone,beerbongs & bentleys,2018-04-27,3swc6WTsr7rl9DqQKQA55C,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,0.75,0.56,8,-8.094,1,0.105,0.546,0.0,0.111,0.459,140.06,221440,4,1,86
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Red Pill Blues (Deluxe),2018-06-15,7fa9MBXhVfQ8P8Df9OEbD8,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,0.779,0.541,0,-6.824,1,0.0658,0.566,0.0,0.13,0.447,124.939,235545,4,1,87
SHUT UP (feat. Big Sean),Jessie Reyez,SHUT UP (feat. Big Sean),2024-05-31,3qfvE0wc0N6Rhu8pnW6Tss,https://open.spotify.com/track/3qfvE0wc0N6Rhu8pnW6Tss,0.873,0.591,8,-6.734,1,0.218,0.178,6.52e-05,0.143,0.646,118.023,143120,4,0,88
Smokin Out The Window,Bruno Mars,An Evening With Silk Sonic,2021-11-11,3xVZYkcuWalGudeKl861wb,https://open.spotify.com/track/3xVZYkcuWalGudeKl861wb,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,197443,4,1,89
West Coast Love,Emotional Oranges,The Juice: Vol. II,2019-11-08,4NFD9ea0uH0MtoC30yNYE1,https://open.spotify.com/track/4NFD9ea0uH0MtoC30yNYE1,0.696,0.65,4,-5.712,0,0.0326,0.00666,0.153,0.14,0.587,91.997,215387,4,1,90
Chosen (feat. Ty Dolla $ign),Blxst,No Love Lost (Deluxe),2020-12-04,1dIWPXMX4kRHj6Dt2DStUQ,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ,0.571,0.767,2,-5.16,1,0.287,0.336,0.0,0.0809,0.605,93.421,161684,4,0,91
Water,Tyla,Water,2023-07-28,5aIVCx5tnk0ntmdiinnYvw,https://open.spotify.com/track/5aIVCx5tnk0ntmdiinnYvw,0.673,0.722,3,-3.495,0,0.0755,0.0856,0.0,0.137,0.519,117.187,200256,4,1,92
The Lazy Song,Bruno Mars,Doo-Wops & Hooligans,2010-10-05,386RUes7n1uM1yfzgeUuwp,https://open.spotify.com/track/386RUes7n1uM1yfzgeUuwp,0.794,0.711,8,-5.124,0,0.0699,0.3,0.0,0.0955,0.955,174.915,189109,4,1,93
Trip,Ella Mai,Ella Mai,2018-10-12,6CTWathupIiDs7U4InHnDA,https://open.spotify.com/track/6CTWathupIiDs7U4InHnDA,0.477,0.609,11,-5.628,0,0.144,0.222,0.0,0.107,0.357,79.884,213993,4,1,94
World on Fire,Nate Smith,NATE SMITH (DELUXE),2023-04-28,5ya0TmUQw2wHMkq36rPsnd,https://open.spotify.com/track/5ya0TmUQw2wHMkq36rPsnd,0.461,0.887,11,-4.871,0,0.0429,0.000219,0.0,0.104,0.411,95.964,189987,4,0,95
